Month,CMake,GNU Make,Bazel,Meson,SCons
2004-01,0,82,23,0,16
2004-02,13,100,22,0,17
2004-03,12,70,23,0,14
2004-04,14,91,17,0,13
2004-05,12,79,15,0,17
2004-06,11,97,10,0,16
2004-07,16,81,10,0,33
2004-08,15,88,11,0,22
2004-09,11,77,12,0,9
2004-10,3,69,13,0,18
2004-11,16,65,6,3,13
2004-12,10,62,14,0,22
2005-01,6,68,19,0,15
2005-02,9,82,13,4,15
2005-03,2,73,16,0,18
2005-04,8,61,10,0,16
2005-05,9,58,14,0,20
2005-06,13,61,17,0,23
2005-07,13,63,6,0,28
2005-08,8,60,16,2,29
2005-09,15,48,12,0,28
2005-10,12,63,9,0,20
2005-11,7,51,15,0,24
2005-12,9,48,12,0,25
2006-01,13,50,14,0,26
2006-02,14,52,5,0,24
2006-03,16,48,21,0,23
2006-04,13,52,12,1,23
2006-05,15,44,8,0,18
2006-06,16,47,9,0,25
2006-07,22,44,13,2,18
2006-08,26,45,19,0,26
2006-09,23,42,12,0,20
2006-10,21,41,14,0,25
2006-11,23,38,15,0,24
2006-12,17,34,9,0,20
2007-01,28,32,14,0,20
2007-02,29,37,11,0,20
2007-03,30,34,9,1,20
2007-04,25,37,11,0,17
2007-05,27,32,12,0,21
2007-06,31,31,11,0,23
2007-07,28,31,13,0,18
2007-08,29,32,13,0,19
2007-09,24,28,14,1,18
2007-10,27,28,13,1,17
2007-11,30,33,13,1,18
2007-12,26,23,14,0,15
2008-01,30,27,12,0,13
2008-02,26,27,12,1,14
2008-03,29,24,12,0,15
2008-04,32,27,17,0,15
2008-05,27,21,12,1,17
2008-06,33,25,28,0,17
2008-07,34,27,12,0,17
2008-08,35,23,13,0,17
2008-09,28,24,15,0,20
2008-10,33,23,13,0,18
2008-11,39,20,13,0,17
2008-12,31,22,12,0,12
2009-01,33,17,12,0,16
2009-02,36,22,11,0,16
2009-03,39,21,13,3,19
2009-04,38,16,10,0,16
2009-05,37,18,11,1,16
2009-06,35,20,11,0,16
2009-07,39,16,12,0,15
2009-08,35,20,13,0,14
2009-09,36,17,11,1,15
2009-10,42,21,12,0,12
2009-11,40,17,14,0,14
2009-12,38,16,9,1,11
2010-01,39,15,10,0,12
2010-02,41,15,13,0,9
2010-03,44,18,15,0,13
2010-04,42,17,9,0,12
2010-05,48,14,9,0,15
2010-06,43,15,13,1,12
2010-07,42,12,10,0,13
2010-08,41,12,13,1,12
2010-09,41,12,14,0,10
2010-10,41,13,12,1,12
2010-11,43,13,13,0,12
2010-12,40,12,10,1,10
2011-01,42,11,9,1,9
2011-02,40,11,11,0,11
2011-03,47,11,11,0,11
2011-04,43,14,10,1,12
2011-05,43,12,10,0,12
2011-06,38,11,11,0,10
2011-07,42,12,10,1,10
2011-08,41,11,11,0,10
2011-09,39,11,11,0,9
2011-10,46,10,10,0,9
2011-11,45,11,13,0,11
2011-12,38,8,13,1,8
2012-01,41,8,10,0,9
2012-02,44,10,11,0,10
2012-03,43,10,11,0,10
2012-04,44,9,9,0,10
2012-05,42,9,10,0,9
2012-06,45,8,10,1,10
2012-07,44,9,10,0,10
2012-08,43,8,11,0,9
2012-09,42,9,11,0,9
2012-10,43,8,11,0,8
2012-11,41,8,9,1,8
2012-12,37,7,10,1,7
2013-01,43,9,9,0,8
2013-02,43,8,9,0,9
2013-03,46,8,10,0,8
2013-04,48,7,15,0,9
2013-05,43,7,12,1,8
2013-06,44,7,10,0,8
2013-07,46,7,11,0,8
2013-08,41,6,14,0,8
2013-09,45,7,10,0,8
2013-10,48,9,11,0,9
2013-11,47,7,13,0,8
2013-12,44,6,10,0,5
2014-01,46,7,9,0,7
2014-02,46,6,10,1,7
2014-03,46,7,11,0,8
2014-04,50,7,11,0,8
2014-05,44,7,9,1,8
2014-06,45,5,10,1,8
2014-07,44,5,9,0,7
2014-08,42,6,10,0,7
2014-09,46,6,13,0,8
2014-10,46,6,18,0,7
2014-11,46,6,15,0,6
2014-12,41,6,12,0,6
2015-01,43,5,10,1,6
2015-02,50,5,11,0,7
2015-03,50,6,13,1,7
2015-04,50,6,11,0,7
2015-05,46,4,11,1,6
2015-06,49,5,11,1,6
2015-07,48,5,12,0,6
2015-08,45,5,13,1,6
2015-09,50,5,13,1,7
2015-10,49,5,12,0,6
2015-11,49,5,12,1,6
2015-12,44,5,11,0,5
2016-01,53,5,11,1,6
2016-02,60,5,11,0,7
2016-03,63,5,14,0,5
2016-04,62,4,11,1,6
2016-05,60,5,14,1,7
2016-06,63,5,14,1,6
2016-07,57,4,14,1,7
2016-08,57,4,14,1,5
2016-09,63,4,15,1,5
2016-10,63,4,14,1,5
2016-11,72,4,16,1,5
2016-12,62,4,9,1,5
2017-01,61,5,9,1,4
2017-02,77,4,12,1,4
2017-03,74,5,11,1,5
2017-04,76,4,11,1,4
2017-05,67,4,11,1,4
2017-06,71,4,11,1,5
2017-07,68,4,11,1,4
2017-08,71,4,13,1,5
2017-09,71,4,14,1,4
